001_01.png	490.63	338.28	471.22	338.41	452.86	341.93	401.95	342.45	383.33	339.84	362.63	338.41												
001_02.png	493.49	332.94	479.30	333.33	455.86	340.23	404.69	340.11	391.02	334.50	364.58	335.81												
001_03.png	495.05	333.86	477.47	332.94	458.07	339.32	407.29	339.71	389.45	333.33	368.88	334.89												
001_04.png	493.62	334.25	472.66	332.42	456.38	338.80	405.08	340.11	385.03	334.11	367.84	336.46												
001_05.png	495.83	333.33	470.57	331.64	457.68	338.02	406.77	339.45	382.81	333.33	369.92	334.38												
001_06.png	496.22	336.20	474.48	335.29	458.46	339.45	407.81	340.89	386.46	336.72	369.79	336.20												
001_07.png	495.31	336.46	474.87	335.81	458.07	340.89	407.55	342.19	386.98	337.76	370.18	337.24												
001_08.png	496.22	337.11	479.43	336.98	459.64	341.54	408.98	342.32	390.89	337.89	370.96	337.89												
001_09.png	496.88	337.37	484.11	337.63	460.68	342.45	410.29	342.58	396.22	338.80	371.22	338.41												
001_10.png	497.79	340.23	483.20	341.02	461.07	343.75	410.55	343.36	395.44	341.93	371.75	341.41												
001_11.png	495.96	343.88	476.04	343.88	458.46	346.36	407.94	347.53	387.63	345.83	369.27	344.14												
001_12.png	498.70	343.88	474.87	342.97	460.29	346.09	409.77	347.27	386.98	344.92	371.61	342.71												
002_01.png	460.29	273.96	448.57	273.57	428.52	278.78	382.29	280.34	372.00	276.30	350.65	277.08												
002_02.png	458.20	272.79	446.61	273.18	427.34	278.13	381.12	279.56	370.31	276.04	349.61	276.43												
002_03.png	457.55	273.44	443.10	273.96	426.56	278.64	380.60	280.47	366.67	276.69	349.22	277.34												
002_04.png	455.47	274.48	438.54	274.61	424.22	279.56	378.13	280.86	362.37	277.47	347.66	277.86												
002_05.png	454.30	272.66	434.38	273.18	423.05	277.86	376.95	279.43	358.59	276.43	346.61	276.56												
002_06.png	453.13	274.87	433.20	275.26	421.48	278.39	375.52	280.60	357.55	278.39	345.96	279.04												
002_07.png	452.86	273.83	436.72	274.87	422.14	278.25	376.30	280.21	360.55	278.13	346.48	278.78												
002_08.png	454.04	274.61	440.11	275.13	423.44	278.52	377.34	280.47	363.80	278.25	347.14	279.30												
002_09.png	454.04	274.35	442.71	275.26	423.31	278.64	377.47	280.86	366.80	278.39	346.22	279.56												
