059_01.png	449.87	320.70	434.50	323.57	421.48	327.86	381.77	331.12	366.80	328.64	352.21	327.34
059_02.png	453.00	307.81	441.80	307.81	425.26	313.80	386.20	315.89	374.74	311.46	356.77	312.11
059_03.png	457.94	310.55	444.01	310.68	429.95	316.41	391.28	318.36	377.08	314.06	362.63	314.84
059_04.png	457.03	310.68	441.41	311.20	429.04	316.67	390.23	319.01	374.35	314.58	361.98	315.75
059_05.png	455.99	311.98	438.41	312.50	427.61	317.84	388.93	320.70	370.83	316.14	360.68	316.67
059_06.png	456.51	314.45	438.67	316.02	427.86	320.44	389.19	323.83	370.96	319.92	360.81	319.79
059_07.png	458.46	316.80	443.10	318.36	430.34	322.92	391.54	325.65	375.52	322.00	362.76	321.61
059_08.png	459.89	318.10	445.83	319.40	431.51	324.09	392.19	326.43	378.25	322.92	363.15	322.39
059_09.png	461.20	317.84	450.78	319.40	434.25	324.22	394.66	326.04	382.81	322.79	365.50	322.14
059_10.png	462.11	320.44	450.52	322.79	434.11	326.56	394.66	328.13	382.68	326.30	365.50	324.48
059_11.png	462.76	322.27	449.09	324.74	434.50	328.13	395.44	329.82	381.12	327.47	366.41	325.91
059_12.png	461.20	320.57	445.57	322.66	432.81	326.04	393.62	328.64	377.86	326.04	364.32	324.48
